dataset,dataset_variant,filename,dark_pixels,bright_pixels,T_mean,T_median,Td_mean,Td_median,Td_dark_mean,Td_dark_median,Td_bright_mean,Td_bright_median,lambda_dark_mean,lambda_dark_median,lambda_bright_mean,lambda_bright_median,boost_dark_mean,boost_dark_median,boost_bright_mean,boost_bright_median,corr_Td_darkness,corr_boost_darkness,gain_mean,gain_median,gain_dark_mean,gain_bright_mean
LOL-v2,Real_captured,00700.png,239539,355,0.999320924282074,0.9999943971633911,0.8347055912017822,0.8345087766647339,0.8360533118247986,0.8347534537315369,0.0591869130730629,0.047999024391174316,1.6733216047286987,1.6716312170028687,0.1183738261461258,0.09599804878234863,1.6721066236495972,1.6695069074630737,0.1183738261461258,0.09599804878234863,0.9985960721969604,0.9985970258712769,2.6694111824035645,2.6690175533294678,2.6721065044403076,1.1183738708496094
LOL-v2,Real_captured,00701.png,239539,355,0.9993361830711365,0.9999946355819702,0.8347092270851135,0.834430456161499,0.8360604047775269,0.8346579670906067,0.05935061722993851,0.04799002408981323,1.673309564590454,1.6714963912963867,0.11870123445987701,0.09598004817962646,1.6721208095550537,1.6693159341812134,0.11870123445987701,0.09598004817962646,0.9986311793327332,0.99863201379776,2.6694183349609375,2.668860912322998,2.6721208095550537,1.1187013387680054
LOL-v2,Real_captured,00702.png,240000,0,0.9922416806221008,0.9999408721923828,0.8485456705093384,0.8503493666648865,0.8485456705093384,0.8503493666648865,nan,nan,1.7117295265197754,1.709027647972107,nan,nan,1.6970913410186768,1.700698733329773,nan,nan,0.9138532280921936,0.91385418176651,2.6970913410186768,2.7006988525390625,2.6970913410186768,nan
LOL-v2,Real_captured,00703.png,240000,0,0.9920743107795715,0.9999384880065918,0.8485901355743408,0.8502420783042908,0.8485901355743408,0.8502420783042908,nan,nan,1.71213960647583,1.7081577777862549,nan,nan,1.6971802711486816,1.7004841566085815,nan,nan,0.910266101360321,0.9102670550346375,2.6971805095672607,2.700484275817871,2.6971805095672607,nan
LOL-v2,Real_captured,00704.png,240000,0,0.9919753670692444,0.999935507774353,0.8486734628677368,0.8503904342651367,0.8486734628677368,0.8503904342651367,nan,nan,1.7124961614608765,1.7099510431289673,nan,nan,1.6973469257354736,1.7007808685302734,nan,nan,0.905236005783081,0.9052368998527527,2.6973466873168945,2.7007808685302734,2.6973466873168945,nan
LOL-v2,Real_captured,00705.png,240000,0,0.987001895904541,0.9992257356643677,0.8239580988883972,0.8273195028305054,0.8239580988883972,0.8273195028305054,nan,nan,1.6716660261154175,1.6777548789978027,nan,nan,1.6479161977767944,1.6546390056610107,nan,nan,0.8471326231956482,0.8471339344978333,2.647916078567505,2.6546390056610107,2.647916078567505,nan
LOL-v2,Real_captured,00706.png,240000,0,0.9867016673088074,0.999196469783783,0.840192437171936,0.844880223274231,0.840192437171936,0.844880223274231,nan,nan,1.7051430940628052,1.7125511169433594,nan,nan,1.680384874343872,1.689760446548462,nan,nan,0.8026230335235596,0.8026242852210999,2.680385112762451,2.689760446548462,2.680385112762451,nan
LOL-v2,Real_captured,00707.png,240000,0,0.9875786304473877,0.9992275238037109,0.8253003358840942,0.8283447027206421,0.8253003358840942,0.8283447027206421,nan,nan,1.6732583045959473,1.6793092489242554,nan,nan,1.6506006717681885,1.6566894054412842,nan,nan,0.873623251914978,0.8736245632171631,2.6506006717681885,2.656689405441284,2.6506006717681885,nan
LOL-v2,Real_captured,00708.png,238983,0,0.9832679033279419,0.9994377493858337,0.8280656337738037,0.8395515084266663,0.8296082019805908,0.8403254747390747,nan,nan,1.6910556554794312,1.72251296043396,nan,nan,1.6592164039611816,1.6806509494781494,nan,nan,0.7429993748664856,0.7429999709129333,2.6561312675476074,2.679102897644043,2.6592164039611816,nan
LOL-v2,Real_captured,00709.png,238919,0,0.984771192073822,0.9995280504226685,0.8285915851593018,0.841646134853363,0.8302416801452637,0.8426069617271423,nan,nan,1.689490556716919,1.7222940921783447,nan,nan,1.6604833602905273,1.6852139234542847,nan,nan,0.7616974115371704,0.7616979479789734,2.6571831703186035,2.6832923889160156,2.6604833602905273,nan
LOL-v2,Real_captured,00710.png,232194,0,0.9933599233627319,0.9998345375061035,0.8194683194160461,0.8534526824951172,0.8308000564575195,0.85661381483078,nan,nan,1.6737946271896362,1.7422337532043457,nan,nan,1.661600112915039,1.71322762966156,nan,nan,0.9953505992889404,0.9953508377075195,2.638936758041382,2.7069053649902344,2.661600112915039,nan
LOL-v2,Real_captured,00711.png,232179,0,0.9938827157020569,0.999854326248169,0.8199580907821655,0.8546870946884155,0.8313453793525696,0.8577411770820618,nan,nan,1.6739444732666016,1.7415589094161987,nan,nan,1.6626907587051392,1.7154823541641235,nan,nan,0.9956026077270508,0.9956028461456299,2.63991641998291,2.709374189376831,2.6626906394958496,nan
LOL-v2,Real_captured,00712.png,237332,23,0.9984236359596252,0.9999934434890747,0.8082762360572815,0.7896345257759094,0.8122384548187256,0.7907610535621643,0.16551470756530762,0.1687738299369812,1.6273363828659058,1.5817506313323975,0.33102941513061523,0.3375476598739624,1.6244769096374512,1.5815221071243286,0.33102941513061523,0.3375476598739624,0.9901885986328125,0.9901894927024841,2.6165523529052734,2.5792689323425293,2.624476909637451,1.3310295343399048
LOL-v2,Real_captured,00713.png,237287,23,0.9982510805130005,0.9999914169311523,0.8077763915061951,0.7893652319908142,0.81182461977005,0.7904934287071228,0.16132207214832306,0.1679794192314148,1.6268062591552734,1.581238865852356,0.3226441442966461,0.3359588384628296,1.6236492395401,1.5809868574142456,0.3226441442966461,0.3359588384628296,0.9910121560096741,0.9910130500793457,2.6155529022216797,2.578730583190918,2.6236493587493896,1.3226441144943237
LOL-v2,Real_captured,00714.png,237876,0,0.9966551065444946,1.0,0.8699345588684082,0.8889989852905273,0.8740347623825073,0.8899763822555542,nan,nan,1.754738450050354,1.7839767932891846,nan,nan,1.7480695247650146,1.7799527645111084,nan,nan,0.9412305355072021,0.9412310719490051,2.7398688793182373,2.7779979705810547,2.7480692863464355,nan
LOL-v2,Real_captured,00715.png,237865,0,0.9964001774787903,1.0,0.8647873401641846,0.8837029337882996,0.8689190149307251,0.8847411274909973,nan,nan,1.7450059652328491,1.7737765312194824,nan,nan,1.7378380298614502,1.7694822549819946,nan,nan,0.9355404376983643,0.935541033744812,2.729574680328369,2.7674059867858887,2.73783802986145,nan
LOL-v2,Real_captured,00716.png,238893,0,0.9472612738609314,0.9664694666862488,0.7828211784362793,0.7701907753944397,0.7842370867729187,0.7704901695251465,nan,nan,1.6585947275161743,1.6675071716308594,nan,nan,1.5684741735458374,1.540980339050293,nan,nan,0.8429933190345764,0.8429938554763794,2.5656423568725586,2.54038143157959,2.568474292755127,nan
LOL-v2,Real_captured,00717.png,240000,0,0.9873725175857544,0.999800980091095,0.8356202244758606,0.8475114703178406,0.8356202244758606,0.8475114703178406,nan,nan,1.6950987577438354,1.704250693321228,nan,nan,1.6712404489517212,1.6950229406356812,nan,nan,0.7967802882194519,0.7967807650566101,2.6712405681610107,2.6950230598449707,2.6712405681610107,nan
LOL-v2,Real_captured,00718.png,238434,19,0.9996722936630249,1.0,0.8335394859313965,0.8577887415885925,0.836043655872345,0.8582782745361328,0.08137258887290955,0.07571530342102051,1.6727280616760254,1.7167282104492188,0.1627451777458191,0.15143060684204102,1.67208731174469,1.7165565490722656,0.1627451777458191,0.15143060684204102,0.9992775917053223,0.9992778301239014,2.667078971862793,2.7155776023864746,2.6720871925354004,1.1627451181411743
LOL-v2,Real_captured,00719.png,238461,21,0.9996925592422485,1.0,0.8338255286216736,0.858127236366272,0.836288571357727,0.8585862517356873,0.08519139885902405,0.07649266719818115,1.67317795753479,1.7173082828521729,0.1703827977180481,0.1529853343963623,1.672577142715454,1.7171725034713745,0.1703827977180481,0.1529853343963623,0.9994457364082336,0.9994459748268127,2.6676511764526367,2.716254472732544,2.672577142715454,1.1703828573226929
LOL-v2,Real_captured,00720.png,240000,0,0.9952182173728943,0.9999986886978149,0.8612544536590576,0.8632479310035706,0.8612544536590576,0.8632479310035706,nan,nan,1.7318041324615479,1.7346786260604858,nan,nan,1.7225089073181152,1.7264958620071411,nan,nan,0.8761972188949585,0.8761981129646301,2.7225089073181152,2.7264957427978516,2.7225089073181152,nan
LOL-v2,Real_captured,00721.png,240000,0,0.994886040687561,0.9999979734420776,0.8528003692626953,0.8543336391448975,0.8528003692626953,0.8543336391448975,nan,nan,1.7154691219329834,1.717052936553955,nan,nan,1.7056007385253906,1.708667278289795,nan,nan,0.8848252296447754,0.884826123714447,2.7056007385253906,2.708667278289795,2.7056007385253906,nan
LOL-v2,Real_captured,00722.png,240000,0,0.9999222159385681,1.0,0.8553763031959534,0.8563672304153442,0.8553763031959534,0.8563672304153442,nan,nan,1.7108964920043945,1.7128735780715942,nan,nan,1.7107526063919067,1.7127344608306885,nan,nan,0.9998445510864258,0.999845564365387,2.710752487182617,2.7127344608306885,2.710752487182617,nan
LOL-v2,Real_captured,00723.png,240000,0,0.9998736381530762,1.0,0.8561732769012451,0.8572497963905334,0.8561732769012451,0.8572497963905334,nan,nan,1.7125791311264038,1.7147296667099,nan,nan,1.7123465538024902,1.714499592781067,nan,nan,0.9997883439064026,0.9997894763946533,2.7123465538024902,2.7144994735717773,2.7123465538024902,nan
LOL-v2,Real_captured,00724.png,240000,0,0.9997219443321228,0.9999998807907104,0.8518601655960083,0.8636347651481628,0.8518601655960083,0.8636347651481628,nan,nan,1.7042288780212402,1.7275426387786865,nan,nan,1.7037203311920166,1.7272695302963257,nan,nan,0.9997811913490295,0.9997824430465698,2.7037203311920166,2.7272696495056152,2.7037203311920166,nan
LOL-v2,Real_captured,00725.png,240000,0,0.9997527599334717,0.9999998807907104,0.8515601754188538,0.8633007407188416,0.8515601754188538,0.8633007407188416,nan,nan,1.703571081161499,1.7269266843795776,nan,nan,1.7031203508377075,1.726601481437683,nan,nan,0.9998117685317993,0.9998131394386292,2.703120231628418,2.7266016006469727,2.703120231628418,nan
LOL-v2,Real_captured,00726.png,240000,0,0.9984548687934875,0.9999115467071533,0.853682279586792,0.8505800366401672,0.853682279586792,0.8505800366401672,nan,nan,1.7100967168807983,1.7037501335144043,nan,nan,1.707364559173584,1.7011600732803345,nan,nan,0.9960190057754517,0.9960215091705322,2.707364559173584,2.701159954071045,2.707364559173584,nan
LOL-v2,Real_captured,00727.png,240000,0,0.9984959959983826,0.999920129776001,0.8528754711151123,0.8497180938720703,0.8528754711151123,0.8497180938720703,nan,nan,1.7084122896194458,1.7019855976104736,nan,nan,1.7057509422302246,1.6994361877441406,nan,nan,0.9960745573043823,0.9960768818855286,2.7057509422302246,2.6994361877441406,2.7057509422302246,nan
LOL-v2,Real_captured,00728.png,240000,0,0.9985588788986206,0.9999269247055054,0.852971076965332,0.8497838377952576,0.852971076965332,0.8497838377952576,nan,nan,1.7084931135177612,1.7018824815750122,nan,nan,1.705942153930664,1.6995676755905151,nan,nan,0.9962975978851318,0.996300220489502,2.705942392349243,2.6995677947998047,2.705942392349243,nan
LOL-v2,Real_captured,00729.png,231305,0,0.5547193884849548,0.5656791925430298,0.43527352809906006,0.4560430645942688,0.43725770711898804,0.46140652894973755,nan,nan,1.653554081916809,1.655437707901001,nan,nan,0.8745154142379761,0.9228130578994751,nan,nan,-0.34368896484375,-0.3436891436576843,1.8705469369888306,1.9120861291885376,1.874515414237976,nan
LOL-v2,Real_captured,00730.png,231295,0,0.5509390234947205,0.5634997487068176,0.43211930990219116,0.45439863204956055,0.4341026246547699,0.46013179421424866,nan,nan,1.6557902097702026,1.6566399335861206,nan,nan,0.8682052493095398,0.9202635884284973,nan,nan,-0.36553433537483215,-0.3655344843864441,1.8642387390136719,1.908797264099121,1.8682054281234741,nan
LOL-v2,Real_captured,00731.png,240000,0,0.9981057643890381,0.9999874830245972,0.82369464635849,0.8219560384750366,0.82369464635849,0.8219560384750366,nan,nan,1.650779128074646,1.6467294692993164,nan,nan,1.64738929271698,1.6439120769500732,nan,nan,0.996641218662262,0.9966422319412231,2.6473891735076904,2.6439120769500732,2.6473891735076904,nan
LOL-v2,Real_captured,00732.png,240000,0,0.9981126189231873,0.999990701675415,0.8242323994636536,0.8225693106651306,0.8242323994636536,0.8225693106651306,nan,nan,1.6518621444702148,1.6476688385009766,nan,nan,1.6484647989273071,1.6451386213302612,nan,nan,0.9963412284851074,0.996342122554779,2.6484646797180176,2.645138740539551,2.6484646797180176,nan
LOL-v2,Real_captured,00733.png,240000,0,0.9997426271438599,0.9999997615814209,0.8295762538909912,0.8241452574729919,0.8295762538909912,0.8241452574729919,nan,nan,1.6596324443817139,1.648465871810913,nan,nan,1.6591525077819824,1.6482905149459839,nan,nan,0.9986566305160522,0.9986577033996582,2.6591525077819824,2.6482906341552734,2.6591525077819824,nan
LOL-v2,Real_captured,00734.png,240000,0,0.999764084815979,0.9999997615814209,0.8299238681793213,0.8248786926269531,0.8299238681793213,0.8248786926269531,nan,nan,1.6602863073349,1.6499327421188354,nan,nan,1.6598477363586426,1.6497573852539062,nan,nan,0.9991015195846558,0.9991025924682617,2.6598474979400635,2.6497573852539062,2.6598474979400635,nan
LOL-v2,Real_captured,00735.png,239859,0,0.9998641014099121,1.0,0.8462241291999817,0.8833735585212708,0.8464404940605164,0.8834269642829895,nan,nan,1.6931380033493042,1.7669689655303955,nan,nan,1.6928809881210327,1.766853928565979,nan,nan,0.9998748302459717,0.9998754262924194,2.692448377609253,2.766746997833252,2.692880868911743,nan
LOL-v2,Real_captured,00736.png,239853,0,0.9998531341552734,1.0,0.8462569713592529,0.8835887312889099,0.8464816212654114,0.8836541175842285,nan,nan,1.6932426691055298,1.7674801349639893,nan,nan,1.6929632425308228,1.767308235168457,nan,nan,0.9997227787971497,0.9997233748435974,2.692513942718506,2.7671775817871094,2.6929633617401123,nan
LOL-v2,Real_captured,00737.png,240000,0,0.9996584057807922,0.9999994039535522,0.8356738686561584,0.8238848447799683,0.8356738686561584,0.8238848447799683,nan,nan,1.6719694137573242,1.6481189727783203,nan,nan,1.671347737312317,1.6477696895599365,nan,nan,0.9967894554138184,0.9967911243438721,2.6713478565216064,2.6477696895599365,2.6713478565216064,nan
LOL-v2,Real_captured,00738.png,240000,0,0.9993277788162231,0.9999997615814209,0.8362216353416443,0.8242602944374084,0.8362216353416443,0.8242602944374084,nan,nan,1.6737333536148071,1.648923635482788,nan,nan,1.6724432706832886,1.648520588874817,nan,nan,0.965793788433075,0.9657952785491943,2.672443389892578,2.6485204696655273,2.672443389892578,nan
LOL-v2,Real_captured,00739.png,240000,0,0.9858708381652832,0.9994958639144897,0.8130199909210205,0.8097386360168457,0.8130199909210205,0.8097386360168457,nan,nan,1.651389241218567,1.6370199918746948,nan,nan,1.626039981842041,1.6194772720336914,nan,nan,0.8981885313987732,0.8981899619102478,2.626039981842041,2.6194772720336914,2.626039981842041,nan
