file,height,width,inference_ms,psnr,ssim,lpips,lpips_256,lambda_mean,lambda_min,lambda_max,attention_mean,attention_min,attention_max,dark_prior_mean,effective_gain_mean,illumination_gain_mean
1594_UHD_LL.JPG,540,960,273.5404320046655,14.449896921416144,0.8421140909194946,0.16989929974079132,0.0786231979727745,1.0832724571228027,0.7189687490463257,1.3489261865615845,0.9999997019767761,0.7314877510070801,1.0,0.8028284311294556,1.083272099494934,2.0832715034484863
1606_UHD_LL.JPG,540,960,273.46799799852306,20.691338504709506,0.8469305634498596,0.07524533569812775,0.03937142342329025,1.169798731803894,0.03948774188756943,1.3495335578918457,0.9999991059303284,0.3656620979309082,1.0,0.8745316863059998,1.1697977781295776,2.1697967052459717
161_UHD_LL.JPG,540,960,269.1623970022192,27.170073252281412,0.9444876909255981,0.07677815109491348,0.021603820845484734,1.0827268362045288,0.7349027395248413,1.3465015888214111,0.9999998211860657,0.8980541825294495,1.0,0.8047733306884766,1.0827265977859497,2.08272647857666
1628_UHD_LL.JPG,540,960,271.5234249990317,34.45882862049174,0.9626511931419373,0.036835528910160065,0.013099848292768002,0.7922027707099915,0.09255476295948029,1.3495261669158936,0.9999990463256836,0.2928127348423004,1.0,0.6461221575737,0.792201578617096,1.7922008037567139
1637_UHD_LL.JPG,540,960,269.7966869964148,34.85035202395212,0.9724950194358826,0.019079795107245445,0.013895884156227112,1.0138278007507324,0.7256307601928711,1.3394314050674438,0.9999999403953552,0.9283860921859741,1.0,0.7532039880752563,1.0138276815414429,2.0138275623321533
1649_UHD_LL.JPG,540,960,269.7711660002824,30.184507848310037,0.9469214677810669,0.05655227601528168,0.0156406182795763,1.0220357179641724,0.1345938742160797,1.3498088121414185,0.9999990463256836,0.3006449341773987,1.0,0.7742028832435608,1.0220344066619873,2.0220327377319336
164_UHD_LL.JPG,540,960,271.1504039980355,29.706217513478702,0.972000002861023,0.027873443439602852,0.009390910156071186,1.0211039781570435,0.7374457120895386,1.3489961624145508,0.9999998211860657,0.9030577540397644,1.0,0.7617226243019104,1.0211039781570435,2.021103620529175
1662_UHD_LL.JPG,540,960,269.09381199948257,16.598356668251327,0.9341157674789429,0.11309760063886642,0.0643693134188652,0.9710807800292969,0.3899807035923004,1.349078893661499,1.0,0.9568350315093994,1.0,0.7318066358566284,0.9710807204246521,1.9710805416107178
1663_UHD_LL.JPG,540,960,269.6330199978547,20.043863390744534,0.9254441261291504,0.1055343747138977,0.04583035409450531,1.0365811586380005,0.654341459274292,1.3340063095092773,0.9999999403953552,0.9474266171455383,1.0,0.7692605257034302,1.0365811586380005,2.036581039428711
1671_UHD_LL.JPG,540,960,269.75877799850423,29.250289873564416,0.9032707810401917,0.1524076610803604,0.061965297907590866,1.0112231969833374,0.20825280249118805,1.3495473861694336,0.9999990463256836,0.30780166387557983,1.0,0.764854371547699,1.011222004890442,2.011221170425415
1678_UHD_LL.JPG,540,960,270.0147849973291,25.058951883606987,0.9623188376426697,0.03193134069442749,0.013714532367885113,0.7370556592941284,0.30050310492515564,1.3487098217010498,1.0,0.9788690209388733,1.0,0.5951763987541199,0.7370555996894836,1.7370553016662598
1682_UHD_LL.JPG,540,960,271.48623100219993,31.110071606705574,0.9522221684455872,0.14821413159370422,0.08318404853343964,1.0459154844284058,0.6017239689826965,1.3159477710723877,0.9999998211860657,0.9031802415847778,1.0,0.7765786647796631,1.0459153652191162,2.045914888381958
1686_UHD_LL.JPG,540,960,268.7358580005821,31.23134479077804,0.9608897566795349,0.12297742068767548,0.06160314753651619,1.0103679895401,0.5396949052810669,1.3353278636932373,0.9999998211860657,0.9170244932174683,1.0,0.7514060735702515,1.0103679895401,2.0103678703308105
1694_UHD_LL.JPG,540,960,269.6383400034392,27.760070256807232,0.8894572854042053,0.16794733703136444,0.06305235624313354,1.0467344522476196,0.29825857281684875,1.349469780921936,0.9999990463256836,0.3143458962440491,1.0,0.7846714854240417,1.0467332601547241,2.0467326641082764
1701_UHD_LL.JPG,540,960,268.6025789953419,23.190777992233404,0.9524139761924744,0.06491145491600037,0.024516787379980087,1.0226399898529053,0.6174222826957703,1.349783182144165,0.9999999403953552,0.9439608454704285,1.0,0.7720624208450317,1.0226399898529053,2.022639036178589
170_UHD_LL.JPG,540,960,270.42404099483974,16.2618394172757,0.7770769596099854,0.24118883907794952,0.14667174220085144,1.1271499395370483,0.6536313891410828,1.313082218170166,0.9999998211860657,0.8608438968658447,1.0,0.8364728093147278,1.1271495819091797,2.1271493434906006
1718_UHD_LL.JPG,540,960,269.07731800019974,29.29708732482405,0.9593889713287354,0.035164762288331985,0.016309672966599464,0.8918606638908386,0.061798904091119766,1.3292701244354248,0.9999999403953552,0.9195425510406494,1.0,0.7150426506996155,0.8918606638908386,1.8918604850769043
1725_UHD_LL.JPG,540,960,268.7652230015374,26.691464490457815,0.944487988948822,0.10811085253953934,0.03705715388059616,0.999203622341156,0.6467078328132629,1.3496867418289185,1.0,0.9625818133354187,1.0,0.758469820022583,0.999203622341156,1.9992027282714844
172_UHD_LL.JPG,540,960,270.0721870060079,28.98493678754832,0.9437445998191833,0.08465582877397537,0.02367207407951355,1.0738389492034912,0.7478073239326477,1.3461954593658447,0.9999998211860657,0.9038139581680298,1.0,0.7979283332824707,1.073838710784912,2.073838472366333
1756_UHD_LL.JPG,540,960,267.0250820010551,19.78221122797067,0.933378279209137,0.07551003247499466,0.0290323905646801,1.0499510765075684,0.1310642659664154,1.3371813297271729,0.9999998211860657,0.885252833366394,1.0,0.801002025604248,1.0499510765075684,2.0499508380889893
175_UHD_LL.JPG,540,960,268.944586001453,32.07968807620217,0.9592159986495972,0.045075953006744385,0.0174570269882679,0.997589111328125,0.7594152092933655,1.3485348224639893,0.9999998211860657,0.92557692527771,1.0,0.7466702461242676,0.9975890517234802,1.9975887537002563
1768_UHD_LL.JPG,540,960,267.49954700062517,20.56583953173977,0.8885080814361572,0.08266246318817139,0.035818397998809814,1.0779017210006714,0.469259113073349,1.349632740020752,0.9999995231628418,0.6352089643478394,1.0,0.8128159642219543,1.0779012441635132,2.0779001712799072
