dataset,dataset_variant,file,ablation_variant,psnr,ssim,lpips,lpips_resize
LOL-v2,Real_captured,00740.png,without_darkness_gate,13.570340267148524,0.7947657108306885,0.2251928150653839,0.18201544880867004
LOL-v2,Real_captured,00741.png,full,17.734112264393712,0.8677771687507629,0.10106077045202255,0.06838153302669525
LOL-v2,Real_captured,00741.png,retinex_base_only,13.028382268489654,0.6183351278305054,0.21758410334587097,0.178847998380661
LOL-v2,Real_captured,00741.png,without_residual_refinement,25.30509381008377,0.8978793621063232,0.08296427130699158,0.051933370530605316
LOL-v2,Real_captured,00741.png,without_tapetum_update,16.70084897743338,0.7937340140342712,0.16984769701957703,0.12854574620723724
LOL-v2,Real_captured,00741.png,without_attention_modulation,17.712156060325505,0.8675817847251892,0.10219597816467285,0.06742685288190842
LOL-v2,Real_captured,00741.png,without_spatial_amplification,16.70091558373703,0.7937331795692444,0.16990941762924194,0.12855982780456543
LOL-v2,Real_captured,00741.png,without_high_frequency_cue,17.73411082411399,0.8677771091461182,0.1010606586933136,0.06837907433509827
LOL-v2,Real_captured,00741.png,without_darkness_gate,14.575109062669211,0.8233281970024109,0.13021157681941986,0.0936463475227356
LOL-v2,Real_captured,00742.png,full,15.921945291238817,0.815798819065094,0.19705216586589813,0.12657299637794495
LOL-v2,Real_captured,00742.png,retinex_base_only,13.502185818086152,0.6377972364425659,0.26650598645210266,0.19902187585830688
LOL-v2,Real_captured,00742.png,without_residual_refinement,21.427391415238564,0.8517640829086304,0.1772526353597641,0.11036451160907745
LOL-v2,Real_captured,00742.png,without_tapetum_update,17.361467514538326,0.7860313653945923,0.2302098274230957,0.1573144495487213
LOL-v2,Real_captured,00742.png,without_attention_modulation,15.780643543825253,0.8133404850959778,0.21017535030841827,0.12129765003919601
LOL-v2,Real_captured,00742.png,without_spatial_amplification,17.361449449281423,0.7860385775566101,0.23022150993347168,0.15727448463439941
LOL-v2,Real_captured,00742.png,without_high_frequency_cue,15.921947189081944,0.8157989382743835,0.19705232977867126,0.12657430768013
LOL-v2,Real_captured,00742.png,without_darkness_gate,12.959899370431518,0.7656437754631042,0.22566388547420502,0.14913327991962433
LOL-v2,Real_captured,00743.png,full,16.895661054345517,0.8701897859573364,0.11201037466526031,0.08694543689489365
LOL-v2,Real_captured,00743.png,retinex_base_only,13.388113461944236,0.6253638863563538,0.2118145078420639,0.19634419679641724
LOL-v2,Real_captured,00743.png,without_residual_refinement,22.799738892292343,0.9019153714179993,0.10565195977687836,0.08105632662773132
