dataset,dataset_variant,file,ablation_variant,psnr,ssim,lpips,lpips_resize
LOL-v1,,493.png,without_darkness_gate,13.762223007356056,0.5406494140625,0.21889859437942505,0.1577192097902298
LOL-v1,,547.png,full,18.997918819021564,0.8517739772796631,0.11869630962610245,0.08734175562858582
LOL-v1,,547.png,retinex_base_only,12.341531574019664,0.6128761768341064,0.24182988703250885,0.2080477625131607
LOL-v1,,547.png,without_residual_refinement,26.413044008790877,0.8841642737388611,0.10279500484466553,0.07262822240591049
LOL-v1,,547.png,without_tapetum_update,15.348165093437196,0.7742422223091125,0.20231598615646362,0.17486968636512756
LOL-v1,,547.png,without_attention_modulation,18.997825372177243,0.8517727255821228,0.11869911104440689,0.0873461440205574
LOL-v1,,547.png,without_spatial_amplification,15.34802457546309,0.7739514112472534,0.20214319229125977,0.17441414296627045
LOL-v1,,547.png,without_high_frequency_cue,18.997914323251052,0.8517736196517944,0.11869604885578156,0.08734145015478134
LOL-v1,,547.png,without_darkness_gate,15.232198826373608,0.8192828297615051,0.13791875541210175,0.0987490564584732
LOL-v1,,55.png,full,17.73354819137564,0.868614137172699,0.14499570429325104,0.10523347556591034
LOL-v1,,55.png,retinex_base_only,6.896326848262958,0.3865892291069031,0.34132546186447144,0.2975434958934784
LOL-v1,,55.png,without_residual_refinement,13.811550593832889,0.7723727226257324,0.171533465385437,0.12112639099359512
LOL-v1,,55.png,without_tapetum_update,8.419968880046492,0.5800505876541138,0.30946487188339233,0.26583853363990784
LOL-v1,,55.png,without_attention_modulation,17.733576513295127,0.8686142563819885,0.1449984312057495,0.10523388534784317
LOL-v1,,55.png,without_spatial_amplification,8.424118744452073,0.5823431611061096,0.3088335692882538,0.2658945322036743
LOL-v1,,55.png,without_high_frequency_cue,17.733551551593717,0.8686142563819885,0.14499598741531372,0.10523383319377899
LOL-v1,,55.png,without_darkness_gate,21.33580026941622,0.8724076747894287,0.147074893116951,0.11328418552875519
LOL-v1,,665.png,full,26.679122844708488,0.8248864412307739,0.21753309667110443,0.14703106880187988
LOL-v1,,665.png,retinex_base_only,9.773195644846497,0.44811388850212097,0.3622105121612549,0.3198229670524597
LOL-v1,,665.png,without_residual_refinement,20.77735071301591,0.8025358319282532,0.22209003567695618,0.14967185258865356
LOL-v1,,665.png,without_tapetum_update,12.023913455890032,0.6292445659637451,0.3293679654598236,0.2790401875972748
LOL-v1,,665.png,without_attention_modulation,26.678915745205813,0.8248848915100098,0.21754498779773712,0.1470297873020172
LOL-v1,,665.png,without_spatial_amplification,12.025495797482805,0.6295563578605652,0.3289519250392914,0.27923572063446045
LOL-v1,,665.png,without_high_frequency_cue,26.67912143263299,0.8248864412307739,0.21753302216529846,0.14703111350536346
LOL-v1,,665.png,without_darkness_gate,22.917358671749856,0.8190017342567444,0.22196371853351593,0.15290771424770355
LOL-v1,,669.png,full,25.959245638530746,0.8911792039871216,0.12290392071008682,0.08749619126319885
LOL-v1,,669.png,retinex_base_only,9.003457030454332,0.48167163133621216,0.3273472487926483,0.2791844606399536
LOL-v1,,669.png,without_residual_refinement,19.27581496222723,0.8551949858665466,0.13160350918769836,0.09168402850627899
